Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL
"Kitisuru, Westlands",townhouse,4,5.0,,39000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
"Lower Kabete, Westlands",villa,5,6.0,,175000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
"Runda, Westlands",villa,6,8.0,,260000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
"Runda, Westlands",house,7,7.0,,155000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
"Nyari, Westlands",house,5,5.0,7.000 ft²,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
"Runda, Westlands",house,4,5.0,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
"Riverside, Westlands",house,6,5.0,5.000 ft²,70000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
Karen,villa,6,6.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
Muthaiga,house,5,4.0,5.000 ft²,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
Karen,villa,5,8.0,648 m²,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
"Westlands Area, Westlands",villa,5,5.0,6.305 ft²,112500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
"Brookside, Westlands",townhouse,3,4.0,3.500 ft²,48000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
"Westlands Area, Westlands",townhouse,5,,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
"Waiyaki Way, Westlands",villa,5,7.0,,30000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
"Waiyaki Way, Westlands",villa,4,6.0,,25000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
Lavington,townhouse,5,6.0,,81000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
Lavington,townhouse,6,7.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
Lavington,townhouse,5,5.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
Lavington,townhouse,5,5.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
"Runda, Westlands",villa,4,5.0,,52000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
Lavington,townhouse,5,5.0,,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8
Lavington,villa,5,6.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Mombasa Road,house,3,3.0,,5500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
"Westlands Area, Westlands",villa,1,1.0,,4000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
"Runda, Westlands",house,5,6.0,"0,5 m²",130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
