Location,Property Type,Bedrooms,Bathrooms,Size,Amenities,Price,Listing Date,Source_URL,Scrape_Date
,townhouse,5,6,,Lavington,100000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,townhouse,5,6,,Lavington,135000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,villa,5,6,,Lavington,75000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,house,5,6,,"Nyari, Westlands",135000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,house,4,5,,"Westlands Area, Westlands",150000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,house,5,7,,"Runda, Westlands",125000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,villa,5,5,650 m²,Karen,150000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,house,4,4,,"Runda, Westlands",350000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,house,4,5,5.000 ft²,Kiambu Road,34500000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,townhouse,5,5,,Lavington,75000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,2026-02-18
,townhouse,4,5,,"Kitisuru, Westlands",39000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,villa,5,6,,"Lower Kabete, Westlands",175000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,villa,6,8,,"Runda, Westlands",260000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,house,7,7,,"Runda, Westlands",155000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,house,5,5,7.000 ft²,"Nyari, Westlands",135000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,house,4,5,,"Runda, Westlands",100000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,house,6,5,5.000 ft²,"Riverside, Westlands",70000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,villa,6,6,,Karen,130000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,house,5,4,5.000 ft²,Muthaiga,160000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,villa,5,8,648 m²,Karen,95000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,villa,5,5,6.305 ft²,"Westlands Area, Westlands",112500000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,townhouse,3,4,3.500 ft²,"Brookside, Westlands",48000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,townhouse,5,,,"Westlands Area, Westlands",85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,villa,5,7,,"Waiyaki Way, Westlands",30000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,villa,4,6,,"Waiyaki Way, Westlands",25000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,townhouse,5,6,,Lavington,75000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,townhouse,5,6,,Lavington,81000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,townhouse,6,7,,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,townhouse,5,5,,Lavington,150000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,townhouse,5,5,,Lavington,110000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,villa,4,5,,"Runda, Westlands",52000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,townhouse,5,5,,Lavington,60000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,2026-02-18
,villa,5,6,,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,house,3,3,,Mombasa Road,5500000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,villa,1,1,,"Westlands Area, Westlands",4000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,house,5,6,"0,5 m²","Runda, Westlands",130000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,townhouse,4,4,432 m²,"Loresho, Westlands",108000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
