Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL,Size_m2,price_per_sqft,month
Kiambu Road,house,4,5.0,,73000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,1140625.0,2
Karen,house,5,4.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4,64.0,2031250.0,2
Kiambu Road,townhouse,4,4.0,,32000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,500000.0,2
Runda,townhouse,4,4.0,,42000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,656250.0,2
Runda,house,4,5.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,1484375.0,2
Karen,house,4,5.0,,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,1250000.0,2
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,1171875.0,2
Kileleshwa,townhouse,5,6.0,,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,1250000.0,2
Lavington,villa,5,5.0,,220000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,3437500.0,2
Runda,house,6,6.0,,155000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,2421875.0,2
Waiyaki Way,townhouse,4,5.0,,29000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,453125.0,2
Lavington,townhouse,6,7.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,1328125.0,2
Karen,villa,5,6.0,,190000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,2968750.0,2
South C,house,4,2.0,,20500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,320312.5,2
Lavington,townhouse,5,6.0,,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,2109375.0,2
Lavington,townhouse,4,5.0,,168000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,2625000.0,2
Lavington,townhouse,6,7.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,2343750.0,2
Lavington,townhouse,5,5.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,1484375.0,2
Lavington,townhouse,5,5.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,2500000.0,2
Lavington,villa,5,6.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,2343750.0,2
Lavington,townhouse,6,7.0,,86000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,1343750.0,2
Lavington,townhouse,5,6.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,1328125.0,2
Lavington,townhouse,5,5.0,,90000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,1406250.0,2
Runda,house,5,6.0,,350000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=5,64.0,5468750.0,2
Runda,townhouse,5,5.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,2343750.0,2
Lavington,house,9,9.0,,350000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,5468750.0,2
Lavington,townhouse,4,4.0,,58000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,906250.0,2
Kileleshwa,townhouse,4,4.0,,76000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,1187500.0,2
